"G10 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","7049.2480205286"
"",""
"Statistics: ",""
"Best","7089.978687626346"
"Mean","7843.247930093598"
"Median","7490.416959756685"
"St.d","1340.7341332816916"
"Worst","14517.487030990735"
"FeasibleRate","100.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","x6","x7","x8","OF","CVS"
"1.0","551.6707507736651","1733.9147797293401","5755.531992649877","92.46781738978532","270.18719225329636","96.4945646553346","220.5878505002683","370.18616096420965","8041.117523152882","0.0"
"2.0","1511.30508381948","1000.2057203966714","5252.308391340463","220.76386593041786","290.8508962952051","167.35810317345695","316.8474461642828","390.69262552642624","7763.819195556614","0.0"
"3.0","656.2038733030055","1405.0513256247098","5079.194799863274","187.04764548728565","298.01978365788165","212.94611005180855","285.77398150087373","397.8585197128094","7140.449998790989","0.0"
"4.0","228.95527617177456","1644.1831251396752","5573.600667481204","117.38127099198822","277.9365989696042","189.02456140587333","239.44467202116357","377.93659892827935","7446.7390687926545","0.0"
"5.0","363.5577982806129","2393.799328011231","4648.790495111746","159.89055716090655","315.7836352746823","238.57863476197195","241.29519466662188","415.78274706235084","7406.14762140359","0.0"
"6.0","100.00108256546517","1910.6599979687098","5561.545321361221","90.49802873107713","277.5958962920043","285.15691928621067","212.90198061148627","377.56995514483265","7572.206401895396","0.0"
"7.0","371.51415925032677","2006.1718317879192","4941.656527888458","161.57783844949552","303.80001724181983","238.42215556954142","250.19324051718343","403.4758210281042","7319.342518926704","0.0"
"8.0","263.9983126511519","1814.5647205501848","5348.040173105539","129.24701764259947","288.8357748017338","205.90424704967415","239.18317440879852","388.83506584560007","7426.603206306876","0.0"
"9.0","455.4541444452255","1853.022995160461","4878.421588090838","166.95653752149485","305.63370866494523","222.6095493607689","260.6474376329518","405.23897848598364","7186.8987276965245","0.0"
"10.0","547.0768013157074","1579.7443514284364","4963.1575348822025","177.10868242279443","301.53406782247197","220.21412868059122","275.5624174276059","401.5039458398598","7089.978687626346","0.0"
"11.0","295.72752736777653","3214.7757363681603","4953.157559594566","56.72982850964929","303.87985002232875","263.01072885985946","152.83522923227912","402.86728764077577","8463.660823330503","0.0"
"12.0","501.38288871773665","2597.1397840470017","4435.572177955978","170.71414181283222","325.5007979637236","221.38839111103064","245.21275808971504","425.50071868228605","7534.094850720716","0.0"
"13.0","192.86503539302447","1452.5736055326022","5589.256056306897","134.31946118129818","276.53189041397064","248.28733478315476","257.7875707672756","376.4862078305601","7234.694697232524","0.0"
"14.0","194.52734795552496","2042.9015419521404","5358.370142857282","135.95059257381834","285.7142771757529","254.67303728122045","227.5872205267882","385.6913785581153","7595.799032764948","0.0"
"15.0","1233.7186984514574","1372.578848285917","4759.322421976727","212.98150462421017","309.6271031209771","180.0033760115979","300.99611906463207","409.62710312095606","7365.619968714102","0.0"
"16.0","471.46784866100995","1362.4689460545817","5367.957832150552","172.26615471469074","288.90249397967125","227.7338452852964","283.3636607349859","388.90249397966295","7201.894626866144","0.0"
"17.0","478.0622797170904","1104.3828070442742","5854.6110037697945","160.538780293114","267.99817987433704","205.5277847255465","292.54060041870457","367.9981798743357","7437.0560905311595","0.0"
"18.0","369.4900730206541","1338.9635390244985","5648.236452120765","146.0098514647354","274.19242579886026","222.64407923027125","265.9066337945358","374.1566106245488","7356.690064165918","0.0"
"19.0","7838.086788311684","1375.2537130547908","5304.14652962426","166.7950101773571","287.8341388150295","113.09563533766416","276.810281803868","387.8341388150295","14517.487030990735","0.0"
"20.0","100.09250546735964","2003.8066749156383","5330.244188903515","106.62068319729441","287.2938122505152","243.210338910029","219.3268709467716","387.2938122505142","7434.143369286514","0.0"
"21.0","3607.4940098263446","2342.9708912952824","3854.4555534619876","244.9732619490122","346.0652728067248","155.02673804903168","298.9079891126627","446.06527280671816","9804.920454583615","0.0"
"22.0","129.54543617562365","2030.7601303577044","5400.873600930736","114.19706331908662","286.9175249031074","191.40158439349355","220.5122178966711","386.9175249031074","7561.179167464064","0.0"
"23.0","853.8570366204023","1670.5210337269177","4775.609376482684","193.7824947311669","310.56083987380003","191.7201679506029","281.16538919982503","410.24957300413644","7299.987446830004","0.0"
"24.0","1822.8837018360616","1094.4782940683906","4711.348757010643","234.42724062287175","311.72193995716066","164.1768680270088","322.7052975977293","411.72193831057456","7628.710752915094","0.0"
"25.0","114.30357340373592","1005.9731674903941","6690.117670422592","123.07495851144506","235.40006444874805","270.38660441911986","287.6748940410232","335.40006444721007","7810.394411316722","0.0"
"26.0","100.01516300021001","1000.0000000016122","7140.709163495247","106.7772990089187","214.37163346033284","157.5620306517025","292.3525128244236","314.3716334602914","8240.72432649707","0.0"
"27.0","1751.9234734941194","1933.6001891850078","4168.215675403895","231.18827015723076","333.27137825966224","165.50645373969985","297.9168918973184","433.2713781698166","7853.739338083023","0.0"
"28.0","101.34722012203096","1656.472427224593","5939.057762385269","85.1486356336332","262.7775266630076","26.46332708115011","219.191201178451","362.73451133420605","7696.877409731893","0.0"
"29.0","1244.7991394446803","2045.9587524180072","4326.651475226613","212.2315213436748","327.68981029657783","187.76835770641753","282.77197638271247","427.28077993842413","7617.409367089301","0.0"
"30.0","578.9553609609316","1181.2755403257995","5488.820822258591","181.98834989104296","283.077636995662","218.01164965800413","298.88647820037625","383.0775875432664","7249.051723545322","0.0"
