"G06 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","-6961.8138755802"
"",""
"Statistics: ",""
"Best","-6961.8138755801665"
"Mean","-6961.813875580168"
"Median","-6961.8138755801665"
"St.d","3.844341332089815E-12"
"Worst","-6961.813875580156"
"FeasibleRate","100.0"
"SuccessRate","100.0"
"SuccessPerformance","4752.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","OF","CVS"
"1.0","14.094999999999988","0.8429607892154537","-6961.8138755801665","0.0"
"2.0","14.094999999999988","0.8429607892154533","-6961.8138755801665","0.0"
"3.0","14.094999999999988","0.8429607892154533","-6961.8138755801665","0.0"
"4.0","14.094999999999988","0.8429607892154535","-6961.8138755801665","0.0"
"5.0","14.094999999999988","0.8429607892154534","-6961.8138755801665","0.0"
"6.0","14.094999999999994","0.8429607892154652","-6961.813875580156","0.0"
"7.0","14.094999999999988","0.8429607892154538","-6961.8138755801665","0.0"
"8.0","14.094999999999988","0.8429607892154537","-6961.8138755801665","0.0"
"9.0","14.094999999999988","0.8429607892154531","-6961.8138755801665","0.0"
"10.0","14.094999999999988","0.8429607892154538","-6961.8138755801665","0.0"
"11.0","14.09499999999999","0.8429607892154574","-6961.813875580163","0.0"
"12.0","14.094999999999988","0.8429607892154538","-6961.8138755801665","0.0"
"13.0","14.094999999999994","0.8429607892154655","-6961.813875580156","0.0"
"14.0","14.094999999999988","0.8429607892154535","-6961.8138755801665","0.0"
"15.0","14.094999999999988","0.8429607892154536","-6961.8138755801665","0.0"
"16.0","14.094999999999988","0.842960789215454","-6961.8138755801665","0.0"
"17.0","14.094999999999988","0.8429607892154537","-6961.8138755801665","0.0"
"18.0","14.094999999999988","0.842960789215454","-6961.8138755801665","0.0"
"19.0","14.094999999999988","0.8429607892154538","-6961.8138755801665","0.0"
"20.0","14.094999999999988","0.8429607892154533","-6961.8138755801665","0.0"
"21.0","14.094999999999988","0.8429607892154534","-6961.8138755801665","0.0"
"22.0","14.094999999999988","0.8429607892154538","-6961.8138755801665","0.0"
"23.0","14.094999999999988","0.8429607892154533","-6961.8138755801665","0.0"
"24.0","14.094999999999988","0.8429607892154537","-6961.8138755801665","0.0"
"25.0","14.094999999999988","0.8429607892154539","-6961.8138755801665","0.0"
"26.0","14.094999999999988","0.8429607892154535","-6961.8138755801665","0.0"
"27.0","14.094999999999988","0.8429607892154534","-6961.8138755801665","0.0"
"28.0","14.094999999999988","0.8429607892154531","-6961.8138755801665","0.0"
"29.0","14.094999999999988","0.8429607892154535","-6961.8138755801665","0.0"
"30.0","14.094999999999988","0.8429607892154534","-6961.8138755801665","0.0"
