"G04 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","-30665.5386717834"
"",""
"Statistics: ",""
"Best","-30665.538671783317"
"Mean","-30664.787931834275"
"Median","-30665.538137269417"
"St.d","1.4670225125529701"
"Worst","-30659.58309574178"
"FeasibleRate","100.0"
"SuccessRate","46.0"
"SuccessPerformance","26942.14285714286"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","OF","CVS"
"1.0","78.07050549226662","33.000716429358214","29.999596874962382","44.99999989074167","36.74602617989241","-30661.290464890713","0.0"
"2.0","78.00000000000021","33.00000000040692","29.99525602590074","44.999999999995694","36.77581290523579","-30665.538671748876","0.0"
"3.0","78.0000000770568","33.000045381749736","29.995371327626188","44.9803853825322","36.783481707113324","-30665.001724840295","0.0"
"4.0","78.00000010760778","33.00000259939917","29.995268918708327","44.999953098213304","36.77583473776963","-30665.53309728943","0.0"
"5.0","78.00000003517057","33.0000000006765","29.9952560260018","44.99999999171472","36.77581289930795","-30665.53866971028","0.0"
"6.0","78.0000087741641","33.000000009929245","29.99525615223002","44.999997928832755","36.77581162306512","-30665.538117846118","0.0"
"7.0","78.00000000289424","33.00000000000006","29.995256025650164","44.999999999999616","36.77581290509563","-30665.538671641683","0.0"
"8.0","78.00000000646651","33.000000032591856","29.99526241059288","44.99466157242717","36.77796344146043","-30665.396439122964","0.0"
"9.0","78.00000000000023","33.00000000000383","29.99525602568388","44.99999999980254","36.77581290586251","-30665.53867177773","0.0"
"10.0","78.00002462077522","33.0000000001953","29.99525575785898","44.99999999962456","36.77580701424382","-30665.537467037728","0.0"
"11.0","78.00001588322132","33.00000148600383","29.99525694067915","44.999999999960316","36.775806354843375","-30665.5377242215","0.0"
"12.0","78.00000000000418","33.000000000004846","29.99525602568562","44.99999999999562","36.77581290577873","-30665.53867178236","0.0"
"13.0","78.0","33.00000000000005","29.99525602568159","44.999999999999794","36.77581290578831","-30665.538671783317","0.0"
"14.0","78.00000019319694","33.00000000722317","29.99533795324765","44.93078518129426","36.80369593808479","-30663.69480480458","0.0"
"15.0","78.0000013794365","33.000000000000014","29.99525601064086","44.99999999999981","36.775812575774935","-30665.538604291145","0.0"
"16.0","78.00000000010607","33.00000000002368","29.995256025855724","44.99999999913374","36.77581290573419","-30665.538671723658","0.0"
"17.0","78.05482082532365","33.00000000376366","29.994659967621708","44.998576656891004","36.7632711240651","-30662.819087499505","0.0"
"18.0","78.00000000000006","33.00000000000003","29.995380980859526","44.89424905305786","36.81841482254104","-30662.721555867905","0.0"
"19.0","78.00000000296309","33.00000000092885","29.99525603131551","44.99999678704624","36.77581419472216","-30665.538585753347","0.0"
"20.0","78.03527744681668","33.048905308951824","30.02118744636217","44.99608330017835","36.70247329765364","-30659.58309574178","0.0"
"21.0","78.00001052339805","33.0000000008686","29.995255911447018","44.99999999522084","36.77581038889142","-30665.538156692717","0.0"
"22.0","78.00022975521173","33.000094879348495","29.995440326780802","44.91136206855583","36.81127901228848","-30663.151983421038","0.0"
"23.0","78.00000000425842","33.000000000902034","29.995256026263203","44.999999963264514","36.775812918093095","-30665.53867050462","0.0"
"24.0","78.00000000016425","33.0000000000011","29.995256025684068","44.99999999999131","36.77581290574335","-30665.538671774277","0.0"
"25.0","78.00582564455075","33.01788430381287","30.00482034653017","44.99999998996895","36.75008076718018","-30663.745158405916","0.0"
"26.0","78.0000000000001","33.000000000002714","29.995256025683354","44.99999999981979","36.77581290585698","-30665.538671778264","0.0"
"27.0","78.00000000002329","33.00001152900482","29.995262883476954","44.999450568300816","36.776018545296964","-30665.523063191547","0.0"
"28.0","78.00000521844731","33.00000944583266","29.995264529437062","44.99803224800383","36.776591730363016","-30665.484816800323","0.0"
"29.0","78.0000000000004","33.000000002040515","29.995256026803453","44.999999984534576","36.77581290922859","-30665.538671198447","0.0"
"30.0","78.00000000038182","33.00000000039339","29.99525602895723","44.9999981342633","36.77581365472309","-30665.538621886106","0.0"
