"G01 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","-15.0"
"",""
"Statistics: ",""
"Best","-14.991320702923808"
"Mean","-12.692771376448395"
"Median","-13.030645470451008"
"St.d","1.9260112630159327"
"Worst","-7.134718534718435"
"FeasibleRate","100.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","OF","CVS"
"11.0","0.3734257474120719","0.9985223942955239","0.9921748705468493","0.9982258691322472","0.999969677154102","0.9991170524025309","0.9949085832456396","0.9992354289578607","0.9998385826228646","2.987405034469952","2.9928429958184117","2.9904163410101705","0.999818374186007","-13.738605764381163","0.0"
"12.0","0.9999771135014708","0.9999845451954187","0.9999975752219837","0.9999836711434444","0.9999925128885558","0.9999821488570535","0.999658780005268","0.9979682710280663","0.9823639313688106","2.9998800017463303","2.9983937175670623","2.978282550859822","0.9898103165486378","-14.946046761356964","0.0"
"13.0","0.9999146129659131","0.9999999104828344","0.3002201417139543","0.9999700606236753","0.9999917586065744","0.9272142789638115","0.9998172699043033","0.9369306681975601","0.5280784795958975","2.9999286236794855","2.8526002094454315","2.4017453221981016","0.9752683099079333","-12.57055784068178","0.0"
"14.0","0.9999510847802855","0.3580791196774279","0.9999657938374966","0.9588005246869081","0.9905259763371674","0.9773393952851014","0.9782820831333582","0.999235993694867","0.7117891728935521","2.90758601357387","2.863361068462989","2.709612543421274","0.9827909766083288","-12.7733049229358","0.0"
"15.0","0.999750111848975","0.9999985851748112","0.9999993533198596","0.994710226444452","0.9985268893362794","0.9986509454126522","0.9949569695785598","0.9999554789688522","0.9999996231831159","2.9877561884032673","2.9921544353903684","2.9999021432856128","0.9990894721191731","-14.943423750372258","0.0"
"16.0","0.9997055507717355","0.9998494550214295","0.9999975759472242","0.9999999936625322","0.9997825094781718","0.9945024554994704","0.9569672674400076","0.997571449404545","0.9345587577134511","2.9988144218788086","2.945972109121649","2.9296980830140495","0.9999557933437199","-14.755586270758556","0.0"
"17.0","0.3853014069340641","0.08429952382407235","0.3671270281831017","0.9999986745375742","0.9430577554733307","0.09719917919838544","0.23253834773274926","0.9999786618854374","0.9384457561363586","2.943050441719014","0.4269250257292584","2.936987199097829","0.34845339613115506","-7.134718534718435","0.0"
"18.0","0.9903218681559106","0.33995851329638727","0.9999999771599093","0.9996283816907384","0.9975764070851443","0.9883964950030167","0.7428757832956991","0.9063056462708556","0.9944283057596022","2.995493800966495","2.719668106353774","2.807039597851023","0.9945319763660464","-12.974602662996759","0.0"
"19.0","0.36741215614913963","0.293312998532359","0.9957218318338072","0.9992137677620421","0.9455521359317395","0.9929406833376444","0.34933741013301056","0.9999999025182864","0.8083584950534639","2.939297249003663","2.335217881535625","2.8083582994303273","0.8631883405001151","-10.818518264406597","0.0"
"20.0","0.9998183683145115","0.999994414577977","0.9999451615113863","0.9994473991387877","0.999880656223378","0.9999553434952551","0.9997278450538687","0.999404621193186","0.9999849862723788","2.99775789398858","2.995454562335955","2.998142518016728","0.999525962543165","-14.985862813816995","0.0"
"21.0","0.9991555707085086","0.9892441775292387","0.3746030212782574","0.001498617140482665","0.8046905478608917","0.9967617900982714","0.9999999921563432","0.999999999889884","0.9877063163616697","0.8076877820239545","2.993523569053285","2.9877063015616225","0.9998090643560333","-11.341606263366906","0.0"
"22.0","0.9999999984291947","0.2892689031700058","0.37327866743849086","0.999999957781633","0.8674833677565736","0.6681626210495885","0.9849719734452063","0.9999970338463708","0.9954151596251996","2.867479857128698","2.3141510470891893","2.98622823739717","0.9983192655716625","-11.48453780045049","0.0"
"23.0","0.9963262971862356","0.999964252704576","0.36908200407871156","0.9968383478273599","0.2515315960904996","0.7104376256831617","0.9994445587907438","0.9999816541447158","0.9994583426321334","2.24464696151392","2.4202359910440974","2.952654273257977","0.9999973292042972","-11.3798478963061","0.0"
"24.0","0.9974258220886296","0.3386747929060955","0.9986182004142456","0.9993874080441187","0.999936084746023","0.9982506016488796","0.7128326639344237","0.9989089865168508","0.9999381927697809","2.9986988371277734","2.709280909269986","2.9966328329905485","0.8636677074458212","-13.135477636559106","0.0"
"25.0","0.99844193242819","0.9232867816372421","0.9968727014517731","0.9657969763677867","0.9841043464707843","0.9886556970810405","0.9606090961805482","0.8208217021413244","0.9993159316354574","2.915698299206358","2.937920490342627","2.6409593359180636","0.9184248227979357","-13.62383654253873","0.0"
"26.0","0.9872430758261623","0.31642058307195836","0.999407120733759","0.9975234012633896","0.9999718203533443","0.8213896614210775","0.8772547514386124","0.972448336244846","0.9999998520815857","2.9950186228786273","2.5200340742802454","2.9448965245685845","0.719352701532538","-12.690587466321729","0.0"
"27.0","0.7136229637644367","0.941552722867073","0.999752115334048","0.9999999995936532","0.9776493867985996","0.818606785459554","0.9914666680833264","0.9973345857434636","0.9995209446322305","2.9776493858971085","2.6286802347591705","2.9941901158458637","0.9998114002192587","-13.086688277905257","0.0"
"28.0","0.9990337520056277","0.2852094474040233","0.27344632537574604","0.9942208825413869","0.9997407825040676","0.6411049888710759","0.9996593507381177","0.8208707222774791","0.5462056521809986","2.988182547527685","2.281674180903171","2.187570602985416","0.9962016982064272","-10.414963102949635","0.0"
"29.0","0.9335859645900778","0.45457711721538313","0.31229874354219483","0.9999875249009043","0.9999844731201459","0.9999999707371007","0.9999999784058968","0.9999871400381927","0.5277252133558974","2.999900253220312","2.9999999195931304","2.498389688090358","0.06619613504307745","-10.468579340115834","0.0"
"30.0","0.9852136711460824","0.3801604680726679","0.22227637160533023","0.9977756109469774","0.9998074812601707","0.9047774141463493","0.9994733390835868","0.9743126044561521","0.9440918964287205","2.9941404558593105","2.807172843983503","1.7780352496786334","0.9998168596539968","-11.27515210806021","0.0"
