"PressureVessel",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","5896.9489"
"",""
"Statistics: ",""
"Best","5885.332773697329"
"Mean","5910.241157619177"
"Median","5888.31431089022"
"St.d","36.24028406783104"
"Worst","6048.74820555031"
"FeasibleRate","100.0"
"SuccessRate","56.0"
"SuccessPerformance","10893.411764705883"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","OF","CVS"
"1.0","0.8166430321365152","0.4049945418094363","42.31311020286044","173.99459244382274","5958.629392992752","0.0"
"2.0","0.7781689207097261","0.38464930070314945","40.31963319739512","199.999798521265","5885.333251091472","0.0"
"3.0","0.7781686419125267","0.3846491816498498","40.3196187518286","199.99999963512855","5885.332829221291","0.0"
"4.0","0.7795417063547093","0.3853301052020684","40.390761494988354","199.0120086450429","5887.690560183263","0.0"
"5.0","0.8163237083121063","0.40350923198432626","42.29656519751846","174.19694670505692","5953.802449150241","0.0"
"6.0","0.800364645868857","0.3956206591498097","41.469670770265274","184.58705813878672","5924.365531927961","0.0"
"7.0","0.7953407112626996","0.39337476716681674","41.14176226489241","188.86501941706518","5924.948652843186","0.0"
"8.0","0.8100264433453943","0.40039649064844873","41.97028203862146","178.2312454118622","5942.048047379396","0.0"
"9.0","0.7784203724444007","0.3847735934232637","40.33266178439352","199.81851072685035","5885.763204141453","0.0"
"10.0","0.7781927858014596","0.38466109723035896","40.32086973064557","199.98258581006212","5885.374045671429","0.0"
"11.0","0.7789616433834433","0.38503875110763214","40.36045609093527","199.4322939962121","5886.716418104026","0.0"
"12.0","0.7781731843554653","0.3846873077898325","40.319854095515865","199.99672355105577","5885.444315452529","0.0"
"13.0","0.7802712909754584","0.38568895997966535","40.42856355749116","198.48894761196252","5888.938061597179","0.0"
"14.0","0.779269398560938","0.3876015515746408","40.31962012058918","199.99998090357784","5901.84842977894","0.0"
"15.0","0.7781686414223613","0.3846491626512642","40.319618726546636","199.9999999659235","5885.332773697329","0.0"
"16.0","0.781339170434572","0.38615692035004767","40.452534117466136","198.1579597859702","5894.8014875284025","0.0"
"17.0","0.8116293555660649","0.4011888109896542","42.05333448528832","177.19639751823658","5945.022763483431","0.0"
"18.0","0.7904860938044167","0.39103470047641814","40.957827185563495","191.30246972701246","5907.6086733773145","0.0"
"19.0","0.7782355392909607","0.38470234597048236","40.31961872412894","199.99999999963802","5885.971486484672","0.0"
"20.0","0.7781744513210194","0.38465203448721474","40.31991975756439","199.99580943733082","5885.342704803808","0.0"
"21.0","0.8182597401604241","0.4044748902140647","42.39686571720497","172.97345480112153","5957.482152535773","0.0"
"22.0","0.7781727510729914","0.38464916263043064","40.319618724337275","199.99999999669149","5885.362566741119","0.0"
"23.0","0.8474891784260827","0.42884710964645756","43.91135639513356","155.39617147972564","6048.74820555031","0.0"
"24.0","0.7910901777600723","0.3910362847580876","40.98912838135088","190.8852907076012","5907.788722465606","0.0"
"25.0","0.8130613103834478","0.4018955822853137","42.126511301776446","176.2891270157379","5947.81617112865","0.0"
"26.0","0.7951103666041858","0.393023466186757","41.19742832146011","188.1308949272","5914.926892309104","0.0"
"27.0","0.7781729966232493","0.3846491763179804","40.31961872412573","199.99999999964385","5885.364386446872","0.0"
"28.0","0.7781686470043253","0.3846491635922088","40.31961880965763","199.99999889865342","5885.332807628532","0.0"
"29.0","0.7794876608830867","0.38530115595952136","40.387961631704165","199.0507996750189","5887.591259014383","0.0"
"30.0","0.778854624957728","0.3849882351537668","40.35516091756484","199.5058176325789","5886.506485844914","0.0"
