"G22 CEC2006",""
"Iterations: ","30"
"Total time: ","1 seconds"
"Best known value: ","236.430975504"
"",""
"Statistics: ",""
"Best","1575.7373655825977"
"Mean","12403.778033660512"
"Median","13667.833808142672"
"St.d","5536.547324128423"
"Worst","19775.64808411763"
"FeasibleRate","0.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","OF","CVS"
"11.0","16335.014237588213","114498.89155162437","1741.9808694340495","209723.39252044403","2.8350870506445296E7","6262732.704470654","1.2931011859743012E7","299.9899994495445","362.64974146582153","100.01002424709063","377.0881011129196","530.94648355646","2.084979394468844","44.93606125930984","1.5412603685368884","135.54497751899737","49.51248798034895","-3.01397193325986","-0.7421319631213632","-3.5227107463994227","-4.372176098321884","4.613101603961653","16335.014237588213","1.4863849548934804E7"
"12.0","15765.91311815715","307029.0798981622","483.4231704579763","536275.7117157176","9169002.798931774","4757418.555215608","2.6166039052567657E7","191.69002798830945","238.3396094753071","236.421518730509","392.42581444684674","398.83987391383994","0.24505128069875812","119.38751350245339","1.225795876646857","11.405055398339357","357.5791246913242","-1.3940729256522055","-1.0940088678700237","3.6684174184579454","0.3558815783512265","-0.333585622630412","15765.91311815715","741439.0076209732"
"13.0","17315.902740884343","700107.3590588628","315.0809293362979","92176.42223588895","2.001082834174751E7","4394918.810958391","1.6886240067637328E7","299.98999998905","343.93918809932836","128.96361149148785","396.7565891287442","491.1173903364526","0.23818761606935585","150.81410859417565","4.566868688800864","276.5832131371232","160.40271438462213","3.21012540420291","0.7244995674317539","5.95649651707282","1.1968159562381766","-2.0624676820223535","17315.902740884343","2099750.5490463963"
"14.0","13638.194999201429","1083.458403936862","279.91958243983595","3326.7163115837325","9394271.530448755","982777.451810749","3.075106454561306E7","189.28409094325656","197.98754574285192","233.26008940129853","399.8861884010201","352.48935454486576","72.25528530070666","45.3934756481299","232.12436159116547","158.55265746562503","173.00518739359597","0.4412179456198395","0.12920924158657796","2.337296625798403","1.5833725712142461","5.4636675703421655","13638.194999201429","4607849.342858682"
"15.0","14644.861317368977","611.4110530549748","1925.7998993448143","70018.26415012853","1.730018118812613E7","9547244.41981931","1.7117643363601677E7","252.58609586484323","332.84426775742315","159.32886893841626","344.5275558079297","489.33102160139674","235.12067100720486","61.99503421628099","6.11184950331523","198.81115369947963","35.70639338594896","-2.435316307688501","-2.149882946474863","0.02729833522840529","1.3614340387169164","-1.6852928811952843","14644.861317368977","4302911.908464184"
"16.0","12793.330583593546","10796.897682250958","377491.86047226976","13838.135319659803","1.4264094333777005E7","8282829.6059006825","1.7495244836557336E7","242.5475172528085","325.3756785940384","186.961236463426","357.1716495926223","484.4200474892503","10.912667036220897","0.26738541071415795","31.448469735590276","236.170408058095","318.4818519281037","3.437657194825848","4.660267402672809","0.8017561155835198","4.054664522619462","1.1224856077861056","12793.330583593546","566273.4762550225"
"17.0","3724.631149153046","9846.04039719605","158163.4450554403","987.0964881042686","5162290.388854704","1.4652845751847394E7","1.9534583902607836E7","152.67688720833183","304.3936100571228","278.37878462838637","294.9878741069738","464.64988704475826","4.153670451132548","1.1443169752762836","494.73877779272647","282.16473637775107","92.7460663051623","0.32976264781297976","1.74893281442875","-2.28997333254314","4.097619367684281","3.524491332947092","3724.631149153046","1232149.6877437108"
"18.0","9939.021412012797","54088.83593611707","4408.724670813241","3545.3168752027323","1.3879026669158008E7","2856712.3503727554","2.8202845846039094E7","221.0008301084813","226.58884032440344","188.70538499579146","399.9985541614868","378.04354362365217","2.1364557145326417","8.176775537380344","198.58458528938507","220.12746618974842","32.13755815383366","0.29159265151017466","-0.5177940768227657","0.9321462653650185","-3.5366879391701564","0.3783106892171946","9939.021412012797","6421040.443015809"
"19.0","19775.64808411763","14107.777754708284","275748.3259583621","3178.4044426965847","8606742.63869028","1.91656846423438E7","5814965.313656964","191.09556825634365","382.89919584114756","243.93198024676417","248.3431984788731","599.9985322389489","5.083269060317244","0.8639137220902133","45.64946422857889","44.06431789478868","73.74395400365029","-0.8911839313297691","0.2714524049407661","-1.5571837565478417","3.3124804923728535","2.4030633431498574","19775.64808411763","6718567.707057304"
"20.0","9062.696197978588","7906.469480795857","61788.282283924615","10198.013867233461","1.5218588698088707E7","6206900.86309122","1.911329882358246E7","252.18588691840944","314.2548930263878","177.7500538988553","377.9275941508866","468.7861451323309","16.048149557992176","1.0629032207230102","50.35687057101516","69.93092653552759","352.5982956531145","-3.9178710404190062","-4.676674269930502","1.095767936109503","-2.160899654457528","5.6894141244400664","9062.696197978588","2942679.0167234563"
"21.0","15080.046431474899","6086.8162127147225","117433.29946094769","293833.99402395845","4053865.109217711","2.7614505287202645E7","9686282.408807196","140.53852646271042","399.0545005065103","287.99268262100094","163.85969932160089","563.137172961704","3.0839487722201078","2.939339544484484","0.8241403356726099","42.22928353740025","70.54762445083934","4.608595778364701","2.821518539134676","-2.470369385051316","-1.9517417836041808","-3.6730807249357063","15080.046431474899","4120606.256833696"
"22.0","18987.146640444214","44373.28069332822","892.1091702961779","2327.2268762188496","1.3535861780815417E7","1.0043372469879001E7","1.8366173297772918E7","234.77181488237636","326.4195736777211","195.08104224188938","337.4442639845896","476.53759243681714","2.4376201767698915","139.71138801008473","197.29617830008863","104.14475600656814","329.05614309773557","-2.847858442986112","-1.720924515095926","4.599334517746811","4.382709886984642","-3.120480324557312","18987.146640444214","2851757.561578442"
"23.0","18019.39153568446","128929.62360043827","2832.987099599155","37477.52799020338","1.2696977105350794E7","1.6372074221592512E7","9606754.212273339","231.72538650926586","399.6292623053281","203.03022897332153","277.77140759818326","563.9324578869026","0.8183176795570936","72.05971198422225","6.526978483424214","243.14334985703383","1.2668432414161086","-2.7220467360530596","0.8028063118488169","2.5383969928951626","0.9236250085289157","2.183430103910792","18019.39153568446","1728687.8694431"
"24.0","1575.7373655825977","12427.294980991757","51079.39061871459","10042.102668638441","5588974.923847177","3752853.25760302","3.07264366338217E7","155.79134636858154","193.3198789436097","274.1102507605287","399.4686577399544","352.7355720777783","4.224105363526223","0.8536755759161925","74.55144331904575","184.8126469251975","258.7125140637398","5.886999248384695","4.924052946579513","4.707748946599224","-0.39721877478277906","5.402147087703875","1575.7373655825977","2123846.9442130323"
"25.0","19734.498792429527","107.73782068936222","115857.82488867884","18083.568102012523","5215474.910058011","1.4031420033155367E7","2.151110935365208E7","148.208030276195","284.88890524652624","279.4893784877753","299.6857952940489","445.33497291186563","438.34563034631236","1.657096902580501","29.73847424282317","60.46111702972117","144.50044275671172","-1.7800906283662206","-1.3486678216514951","4.219494888044395","-0.9834045973286284","-2.622554756971492","19734.498792429527","2746963.2813317687"
"26.0","11213.738572324593","123501.95433420531","233.50981140998155","4162.3735185638","7606721.511152071","6120106.531735166","2.7711741885657232E7","166.99479782013825","223.0058899182633","253.9255587128241","378.7988470501667","382.38838306579464","0.5140945921083151","327.6151266166838","164.77171713273154","268.2656845510622","164.75907982179734","1.6427447890648603","3.1028514368245665","0.40760067189955834","2.069362852269005","2.286044252313977","11213.738572324593","1780208.3502315746"
"27.0","4347.785469997428","220864.8132016853","1081.8616211078443","196258.04862898483","3000000.1312973057","3735440.671652073","3.989883600878269E7","121.99449301038206","152.12441970926167","299.99999896754827","399.87677289412227","261.15980858734156","0.11248260116168357","48.65903414751774","5.082370811936247","295.61255407057536","317.3601672748618","1.0252322533241682","-1.3805881246783185","-2.0630396746592603","-1.367577045531517","4.192712279815039","4347.785469997428","7421647.3694812795"
"28.0","13697.472617083915","3910.2159445882758","1166.1862823082138","46311.93475604404","4181754.2444051574","4033652.655026234","3.16955835451222E7","141.86250818776895","182.19903453826345","284.00200708686344","399.58458909210833","343.04416470270144","8.912027473670582","24.668647534897488","16.831183784406992","53.03025578783025","62.33416581667624","-0.1320695582819224","1.0592644556573685","0.3480212859437805","-4.4088059766784635","-0.9973792254365478","13697.472617083915","2763932.9715836667"
"29.0","17390.881703920393","207448.1160429644","1373.8324034140066","196803.19693591006","1.70282891133378E7","1.0439167924806613E7","4210445.952432043","284.8826849186627","389.9822034417023","159.71749465142085","335.6082077294485","599.3259794501165","0.6869745965379571","95.09686297202714","0.5856514308690529","13.273274859444486","394.1262899365484","5.998935268059963","-3.703297699741417","0.7185321004672865","-2.7548309866228053","-2.3772814092986416","17390.881703920393","1.0665372209132994E7"
"30.0","1774.418167293286","2117.1884031949758","9936.36908266569","53974.35192869256","5900506.085028086","2.0018049165212516E7","1.5147088365917258E7","156.60139999970065","348.7763359708919","270.9949398023701","240.28731350568214","508.5291171568051","23.011861215356095","25.164438064914602","7.015881271327631","6.355441208207829","347.5280069824406","0.6694808086224542","-2.5685902205108837","3.433507054845901","4.246764817999301","6.229593742958017","1774.418167293286","1181519.50728681"
