"G02 CEC2006",""
"Iterations: ","30"
"Total time: ","1 seconds"
"Best known value: ","-0.8036191042"
"",""
"Statistics: ",""
"Best","-0.6688783602446631"
"Mean","-0.45192490416403064"
"Median","-0.4460734939377457"
"St.d","0.0917457208094824"
"Worst","-0.2807873558765507"
"FeasibleRate","100.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","OF","CVS"
"11.0","9.409993569372482","3.1691985859299843","7.764812015483079","3.133362139196629","3.0660110737166235","3.0795523475825037","3.0849220725353743","3.0758640587766735","0.14111904451133103","2.9857487490169152","0.1559429937318606","0.14900704480683133","0.14915886513597462","2.949981558121447","0.1148925285513903","0.15173113825990892","0.15235114722385484","0.12330881036196","2.905295542102157","2.8154195336693815","-0.5473503462609355","0.0"
"12.0","9.42558065671622","9.355859357515273","9.399009981253476","0.029993410621710723","9.345003652657134","6.211720863243725","3.1205416074358485","3.1017386778200295","3.1317936151464596","3.065791329814506","0.023828960751696403","6.146024905421205","1.4904131795901399","3.0700211778623587","3.0945266450416877","3.018391854615124","0.006097555145140158","0.009016311371868604","3.0346549124227606","3.0211500908097184","-0.3562618795046257","0.0"
"13.0","3.0761911945398173","3.205716999851403","9.463674379493813","2.910835080146632","2.220324181465853","0.09175952801841131","0.25306968822640125","3.1661059786709336","1.8137749866293766","2.944841356234752","2.8385989062903305","0.15072759174536524","3.0837133084528188","0.3448364119922987","0.3570046408510053","0.17452900134341065","0.19690342186538162","0.199509096467496","0.9093124778031071","3.129716631764855","-0.511929176743593","0.0"
"14.0","3.027733876791714","7.718294974813809","6.157870574168114","3.4566637982730395","3.1154406410800504","3.1137687810371717","3.033788415762956","2.9572837131532683","3.0479931876366604","2.7735350232809606","2.9960407820101786","3.1567514380970256","0.11623819784577906","0.18143575845509108","0.15668170114471386","0.19969424840838446","0.1605399781563532","0.17414815280345106","0.22628948093575854","0.05295354380054676","-0.5928173849054834","0.0"
"15.0","3.1996371046379304","3.449400810437701","6.34082829762277","3.3016473041871266","3.1737175978681953","3.2891672454280356","2.9886519296363554","3.0321823855471193","3.0809502996166445","1.6758439112481007","3.081948680719254","0.682516404181914","0.10224307438935291","0.10288744296192151","0.485438131939129","0.08249199641263051","2.894457822105541","0.18186356666543751","0.07503159574196264","0.20322479815730576","-0.6028138648046082","0.0"
"16.0","6.236844484462951","1.7754693714381946","6.060257049618751","0.19200344978149425","3.1336423181698088","0.25066150515258334","2.9798083806695175","0.21562346016316858","3.0842883645851082","3.036089555063884","3.096358846297078","0.25193590053094067","0.31112858423051093","0.19120164923564792","2.618607451663139","3.0080285490527277","2.965767738506898","0.2516399319447851","0.17179169465846322","0.262824387409217","-0.5600840692611588","0.0"
"17.0","6.349822197242992","3.120278337930345","3.159787286482234","3.0232915659755375","0.41958276577398984","2.977833382632808","3.0629821534637833","0.3233424834004306","0.3249419034960347","2.094476358249974","3.042054839868002","2.882131103170028","0.23114386548144442","2.7834021739773234","0.28302551431540435","0.3688197126133658","0.4093852455507443","0.26528509326507","0.24521601122935346","0.30081557932949243","-0.6688783602446631","0.0"
"18.0","3.221478348882945","3.3014144344391054","6.169689141746488","3.307643508509222","4.819217248178264","3.2768596743643776","0.04157511197507654","2.933656935313047","3.0736160619786035","3.2090441733287123","3.0564596580608936","0.163841511937959","2.8907014577585572","3.0673660860204235","0.2054643493248074","0.08789122152194918","3.1403561961646913","3.0006015308580154","2.9228143187989306","2.895782078600015","-0.4496423538189008","0.0"
"19.0","3.170383841920645","0.049063589370813024","6.1935809942503735","3.1512830729683436","3.145956502007394","3.101942682920378","0.11854723136582576","3.0743005941666834","6.133159454350816","2.986686596196199","0.08691508381117963","0.09437305917865346","1.5855976634540716","6.101148308758834","0.02756099882292563","2.9702555299179543","2.937018243956776","2.9578993029407026","1.4103200630948942","0.047815989178626554","-0.4119701027305029","0.0"
"20.0","7.844297847669598","6.2776914225024285","3.133205024464776","6.231139707770494","3.123854677512771","3.113781580550464","6.226378202397435","9.291015367105935","3.107890710192544","3.0797909191877983","6.170606280695435","3.0825766544446456","3.1140133623663564","3.0759387715039743","3.0746254699534137","0.00249678310095263","3.0714960446717003","3.071443080702632","3.0723511131057215","3.0595794678782116","-0.3328691304086267","0.0"
"21.0","9.383370753389336","9.404449846926486","9.350554664034563","3.2503022308505147","1.5514257408963423","9.246806897434453","0.025814218999088413","3.1162426926180786","0.1002549737982074","3.134364284709473","3.0538211119821828","0.024522040078040278","2.9886057840906797","0.03928937813670147","2.9603921420010755","2.993334560498779","0.09207997790802097","3.077384167240705","0.047342716678894475","3.04294956851156","-0.4051644746651263","0.0"
"22.0","3.1456968007770643","3.150006355313667","9.348658776255244","0.2141793417908695","0.20698804047253871","9.372616706061688","0.16333739634510186","3.113023280614526","3.1282156507646808","3.0811052704396573","0.15456713821343063","0.13956440649080362","0.17420179775662994","0.16304370707554589","1.4725493452309015","2.998746023135423","6.040553300092361","0.2135552118362008","6.093665657283186","0.18696098927235683","-0.35724612389682403","0.0"
"23.0","3.2771808990048306","9.509191475329482","9.464880861351922","0.22161230813323624","0.2752366389778116","9.276236055125738","3.0845466909053063","0.2162466827784115","3.104902212326437","0.29310153753598217","3.083679450252815","3.0479091437504544","0.23436228622360952","0.27193330799552734","0.2140326623187258","3.0943250720854794","0.20504555117707024","1.6044945709154326","0.20946385087016042","0.27128519227771564","-0.4502089508086883","0.0"
"24.0","3.138197189353049","0.2217140345098571","3.0092374809216387","0.06364571311842229","3.0622694197163236","3.1402646344429024","0.03571800380081364","0.034579614282776776","2.9969271676508913","6.013471480744051","2.9781337924755324","2.9729694943636518","3.03737958863804","0.048162704675640856","2.9560202564703926","2.9778033710927883","3.014392084640235","2.921887291117018","3.0081407813642076","1.3594595281505977","-0.44143077612986886","0.0"
"25.0","9.4291957224106","3.189076672290929","6.299551277673791","9.324360845945286","0.001625333962248519","4.662295754934361","0.09349108444409338","9.35939710675089","3.2529288059484283","9.512931279753817","3.046943470226502","0.12551003438530148","6.157074186883301","3.088764641931903","3.1498109988402443","3.1610202302679777","6.128927193690669","0.020442977526633998","3.130259341494699","3.1532030429047335","-0.2807873558765507","0.0"
"26.0","2.9739268410962088","3.223440034433791","0.03302227952973305","3.1891163028713407","6.118261181390733","3.2308470056676764","3.057272776381852","0.11167867327535798","3.1420074395284416","3.008900563418333","0.0535382659499089","3.126715360604183","5.951198802823404","6.053553863765243","2.985576367780154","0.019925278550893245","1.929873803621804","0.05126042107320827","0.1266340818936035","2.928857866701682","-0.4032707047021942","0.0"
"27.0","9.35512669399814","6.29528101136031","6.284635352599576","4.706696721788322","3.0400728082808466","3.1762703962128187","6.296141886219857","0.0367588154973669","6.194062800139597","0.008660593231106028","3.0668152677726166","3.1250389874676294","3.055607112723024","6.083184115831895","2.9794716511581165","0.04860100878194419","6.085031240894274","0.134722290009347","0.03752285768080173","0.017135961290470538","-0.3576105802663795","0.0"
"28.0","0.7095160544452208","3.1011284353407884","6.290266350077793","0.2667831951578456","3.2060119840934695","0.308241534710353","3.09301604085687","6.031672622444615","0.3463832774013572","2.9512750497885962","3.0076089188658663","0.2520605643278338","3.0002147247186612","0.3331762369048801","0.6797036408386061","0.26961015236756614","0.24089286127958068","0.32162440957953026","0.34441471910487503","2.9091036734175177","-0.5139889617573682","0.0"
"29.0","0.24064263303189698","3.313250835436121","1.739797579568269","0.14923017509202768","3.1573093076284233","9.31026862426789","0.1503359898670409","0.2235118497468627","2.954338585065469","3.0406962540314573","3.0377590444281486","3.00576775689323","3.100315696589256","0.1689662699997236","0.1358828172879338","3.0094390822188095","2.9835973454232785","0.1342644618618051","3.009235102500176","0.17390958901391215","-0.45652300824866615","0.0"
"30.0","9.302670562359427","6.39657913625985","0.2143735679364662","0.12063082210302524","3.051994855456477","2.963768860465436","0.1785525617130452","6.054808702559151","0.26880541870638325","3.0333047355136533","3.0100753353080227","2.2905327630580863","3.0411086448202163","3.1129178298068103","0.1449924864945204","0.27564709405055765","2.9032435490188875","0.29185285140579115","0.17952957842524436","0.1543239239901576","-0.5020650123364545","0.0"
