"G08 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","-0.0958250415"
"",""
"Statistics: ",""
"Best","-0.09582504141803586"
"Mean","-0.09582504141803584"
"Median","-0.09582504141803586"
"St.d","9.813077866773595E-18"
"Worst","-0.09582504141803584"
"FeasibleRate","100.0"
"SuccessRate","100.0"
"SuccessPerformance","792.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","OF","CVS"
"1.0","1.2279713525355271","4.245373367228268","-0.09582504141803584","0.0"
"2.0","1.227971353154316","4.245373366655194","-0.09582504141803586","0.0"
"3.0","1.2279713532557888","4.24537336967964","-0.09582504141803584","0.0"
"4.0","1.2279713518671733","4.245373367778943","-0.09582504141803584","0.0"
"5.0","1.2279713533933978","4.245373364104416","-0.09582504141803584","0.0"
"6.0","1.2279713526290168","4.245373365474297","-0.09582504141803586","0.0"
"7.0","1.227971352992858","4.245373366450652","-0.09582504141803586","0.0"
"8.0","1.2279713516357027","4.2453733655943715","-0.09582504141803584","0.0"
"9.0","1.2279713526013132","4.245373367617067","-0.09582504141803586","0.0"
"10.0","1.2279713531293412","4.245373364771073","-0.09582504141803584","0.0"
"11.0","1.227971354108144","4.245373366090653","-0.09582504141803586","0.0"
"12.0","1.2279713521031497","4.245373366787898","-0.09582504141803584","0.0"
"13.0","1.227971351574093","4.245373366487236","-0.09582504141803586","0.0"
"14.0","1.2279713542283839","4.245373367121515","-0.09582504141803584","0.0"
"15.0","1.2279713532298902","4.245373367222715","-0.09582504141803584","0.0"
"16.0","1.227971352937984","4.245373366535381","-0.09582504141803586","0.0"
"17.0","1.2279713521496105","4.245373366737826","-0.09582504141803584","0.0"
"18.0","1.227971353027749","4.245373366202705","-0.09582504141803584","0.0"
"19.0","1.2279713524177167","4.245373366664792","-0.09582504141803586","0.0"
"20.0","1.2279713524805855","4.245373366278832","-0.09582504141803586","0.0"
"21.0","1.227971353436288","4.24537336824343","-0.09582504141803586","0.0"
"22.0","1.227971352630502","4.245373366995754","-0.09582504141803584","0.0"
"23.0","1.2279713531140326","4.24537336684363","-0.09582504141803584","0.0"
"24.0","1.227971352154237","4.245373367681109","-0.09582504141803586","0.0"
"25.0","1.2279713530014578","4.245373365836841","-0.09582504141803584","0.0"
"26.0","1.2279713524747975","4.245373365979623","-0.09582504141803586","0.0"
"27.0","1.227971353188151","4.2453733671373275","-0.09582504141803586","0.0"
"28.0","1.2279713527001248","4.245373368139846","-0.09582504141803586","0.0"
"29.0","1.2279713531906131","4.245373366339883","-0.09582504141803586","0.0"
"30.0","1.227971352627574","4.245373364101376","-0.09582504141803584","0.0"
