"Design of a reinforced concrete beam",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","376.2919"
"",""
"Statistics: ",""
"Best","376.291932326591"
"Mean","376.2919323265907"
"Median","376.291932326591"
"St.d","2.8421709430404007E-13"
"Worst","376.291932326591"
"FeasibleRate","100.0"
"SuccessRate","100.0"
"SuccessPerformance","2646.6"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","OF","CVS"
"1.0","8.17001826208757","7.560744190067582","376.291932326591","0.0"
"2.0","8.170018276426989","7.560744166646533","376.291932326591","0.0"
"3.0","8.170018285683122","7.560744151528181","376.291932326591","0.0"
"4.0","8.170018261821983","7.5607441905013735","376.291932326591","0.0"
"5.0","8.170018262125572","7.560744190005512","376.291932326591","0.0"
"6.0","8.170018260995937","7.560744191850584","376.291932326591","0.0"
"7.0","8.170018288048311","7.560744147665038","376.291932326591","0.0"
"8.0","8.170018279552481","7.560744161541559","376.291932326591","0.0"
"9.0","8.170018301071323","7.560744126394119","376.291932326591","0.0"
"10.0","8.170018268196719","7.560744180089306","376.291932326591","0.0"
"11.0","8.170018293042817","7.560744139507345","376.291932326591","0.0"
"12.0","8.170018289468835","7.560744145344849","376.291932326591","0.0"
"13.0","8.170018280985667","7.5607441592006905","376.291932326591","0.0"
"14.0","8.170018267384812","7.560744181415421","376.291932326591","0.0"
"15.0","8.17001829384965","7.56074413818952","376.291932326591","0.0"
"16.0","8.170018286753225","7.560744149780347","376.291932326591","0.0"
"17.0","8.170018265375202","7.560744184697784","376.291932326591","0.0"
"18.0","8.170018285501419","7.560744151824963","376.291932326591","0.0"
"19.0","8.17001826900264","7.5607441787729694","376.291932326591","0.0"
"20.0","8.170018298397812","7.560744130760854","376.291932326591","0.0"
"21.0","8.170018287121849","7.5607441491782605","376.291932326591","0.0"
"22.0","8.170018255677501","7.5607442005373615","376.291932326591","0.0"
"23.0","8.17001826241686","7.560744189529742","376.291932326591","0.0"
"24.0","8.170018294187152","7.560744137638266","376.291932326591","0.0"
"25.0","8.170018269120414","7.560744178580605","376.291932326591","0.0"
"26.0","8.170018291523874","7.560744141988286","376.291932326591","0.0"
"27.0","8.170018287136275","7.560744149154698","376.291932326591","0.0"
"28.0","8.170018284672521","7.560744153178829","376.291932326591","0.0"
"29.0","8.1700183039794","7.560744121644259","376.291932326591","0.0"
"30.0","8.170018296265399","7.560744134243795","376.291932326591","0.0"
