"G17 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","8853.53967480648"
"",""
"Statistics: ",""
"Best","8872.92068297634"
"Mean","9048.866099503926"
"Median","8969.770732351708"
"St.d","176.70077479321208"
"Worst","9754.014614619235"
"FeasibleRate","10.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","x6","OF","CVS"
"1.0","195.5037970824622","106.38088761775836","382.6668737119602","419.9659725212431","-10.04449220880749","0.07835347074404879","8950.159653388859","0.5387505420783711"
"2.0","128.3682595600577","175.78709537026668","351.001140326939","403.1394807867174","43.83295413903068","0.15007219187770415","8948.873552539466","0.4262236927835157"
"3.0","25.54243590195209","283.1570689092806","344.98137903491005","410.3048948055876","94.93067720980048","0.2465823096920317","9260.98514433698","0.0016725671659500675"
"4.0","296.42282273973285","10.567598053416125","362.01369889693626","401.1248773533369","5.800771601292078","1.0980737837080582E-4","9188.577427687638","5.692360628824101"
"5.0","188.03743548557836","114.74018886991757","343.55083467216235","393.55993092988757","36.66910167058673","0.09868300262841498","8968.588541794961","0.06413486660383257"
"6.0","233.59383423514797","68.0221567475137","365.6997895065396","406.0192978844579","4.735043257543432","0.05052784346292562","8912.435415984823","0.0"
"7.0","71.01019565736298","235.28870601730125","351.20195125431775","408.80491834476203","64.33340493476275","0.20088215981879573","9188.967050239928","0.04583396508423429"
"8.0","304.3166349472133","11.435676116272276","379.6439079399399","413.7681072340768","-13.549053331777017","0.0016810710846504328","9754.014614619235","14.765074639973857"
"9.0","109.41990670459376","194.97069321457178","363.13388458472133","412.7347953550833","34.30708335925599","0.15879810204246012","8936.747304360393","4.2884776493253864E-4"
"10.0","268.2483482885888","41.570433425126154","386.7474403138679","419.9998546369943","-20.56418098063631","0.026084719717085446","9211.422584561196","8.691987056985788"
"11.0","271.8114628228604","29.164608507951513","387.34459890785666","419.99215576223287","-20.92270794960787","0.01622742640444666","8970.952922908455","0.8607711000683012"
"12.0","278.85065945157004","22.199501037242936","385.1416633018321","418.09435001849346","-19.566611688291605","0.01061032549162471","8987.105812589904","0.14867172309593335"
"13.0","268.20692775953495","33.046668917729455","371.40999232521744","408.58713297998213","-3.983739868573738","0.019855854126882205","8971.514562482473","2.107144126237472E-4"
"14.0","276.4394219087359","24.38276747823164","357.30272665665365","398.28685099686027","11.11301228243389","0.013034563200797619","8975.900146652562","0.5839338984284301"
"15.0","214.03229636869452","87.56970685412517","383.42803503677277","419.61253971879836","-12.943514087273476","0.06319375491811491","8872.92068297634","0.0037098346922690103"
"16.0","235.31587993939732","66.42014060147909","356.8567412254928","399.75100578568833","14.329436983919422","0.05065308588133958","8919.240335023334","1.5954621266246202E-6"
"17.0","57.579689275348905","249.36217198744197","347.25880525443273","407.8039950220408","75.56376530813033","0.21614741769607626","9208.255837883728","0.20503463501611163"
"18.0","245.4386987086872","57.73211005848052","366.8206793972807","406.2555940665234","2.415803992478456","0.03999796187970073","8979.660042898071","1.6920931143745426"
"19.0","152.0081649092591","150.9551049769551","371.80516162626213","415.20085612448594","11.667213691680882","0.11811039574231989","8937.94299160947","0.008201514125139897"
"20.0","247.55574889565727","54.47120619985971","372.970644727627","410.56325252258273","-4.490557307322306","0.0379089446110884","8951.86624046579","0.6451548411348289"
"21.0","77.08443797608506","229.33316162295895","341.656362115844","402.31502757691567","74.75108638016613","0.20366273670053744","9192.52798797132","0.0"
"22.0","179.0794443111905","123.54148511452317","346.6473325681483","396.2087019459016","34.90957594279017","0.10557622330547277","8955.086397656887","0.271717367268298"
"23.0","35.741676489350795","272.376989394204","350.44268615311887","412.2648766256913","82.24144090438226","0.23216868395226273","9243.559976506644","1.0112876677781193"
"24.0","146.95659982551913","156.4678672314805","357.6082428144567","405.95131974804747","29.942701761404987","0.1296321149311754","8946.266144478508","0.0"
"25.0","291.58394895079465","9.5094296140924","378.5550506417908","412.9595658976384","-12.145622222308997","2.0143085175263774E-5","9013.782497718428","0.11177444747626027"
"26.0","257.6285234237397","43.72450663981125","368.47241674290075","406.9042813882083","-0.2468726423477389","0.02919343601170463","8953.141888626906","0.0035072748814637183"
"27.0","125.67508119428334","178.0016039871424","372.2967787532631","417.5165476954234","17.926662992884815","0.1396195854161388","8932.298951455628","0.036942357308148155"
"28.0","107.51206061319047","197.14041072559704","356.88690376137583","408.8207632347789","46.33340155283716","0.1646416074103603","8942.433729438028","3.4619531044108904"
"29.0","38.084490919040924","269.38703213050445","356.5421355589198","415.7627426893197","71.89757148319494","0.2243253476172549","9224.145691486361","0.2634351353402484"
"30.0","266.9219967346796","34.248176883393775","340.9991866642226","387.3954231199342","29.102662609222254","0.022756451491435573","8966.608854775413","0.554806838225413"
