"G05 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","5126.4967140071"
"",""
"Statistics: ",""
"Best","5126.496821472357"
"Mean","5436.5014744428545"
"Median","5303.952300933972"
"St.d","336.5872361147514"
"Worst","6094.204840561363"
"FeasibleRate","96.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","30000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","OF","CVS"
"1.0","904.5627347397423","796.2920341070528","-0.03712326906531495","-0.47287600221714815","5383.025124341664","0.0"
"2.0","625.6956056067938","1084.6757401678972","0.1578630028301242","-0.3778926015467884","5142.157850476485","0.0"
"3.0","685.0215417996212","1020.6482277931345","0.11525887707889222","-0.39795192944554836","5126.632220571603","0.0"
"4.0","822.8742921474716","877.5650814430164","0.01874957161642754","-0.4448305504955933","5231.4932985400255","0.0"
"5.0","1120.626556415939","593.0071851210884","-0.18166523493496647","-0.5485221611601296","6094.204840561363","0.0"
"6.0","802.7283361985599","898.0005422406915","0.03266508161429396","-0.4379487791147548","5204.210453249047","0.0"
"7.0","705.2090359920259","999.2084186877278","0.10092211682165987","-0.40479019782161485","5129.843108033014","0.0"
"8.0","964.1704196317488","738.5507417340391","-0.07740634524928715","-0.4935079515022601","5534.494493374961","0.0"
"9.0","640.2439924483429","1068.8312117734454","0.1473469113726024","-0.3828074641783592","5134.860297497819","0.0"
"10.0","795.770676338153","905.0950132350388","0.03748453114145549","-0.43557497479935375","5195.725343735213","0.0"
"11.0","679.9066741497575","1026.1081112876104","0.11890381386259676","-0.3962204706796956","5126.496821472357","0.0"
"12.0","1100.4176848487225","611.3272199965509","-0.16829504840300258","-0.5413356629234138","6008.734800725561","0.0"
"13.0","873.6975368898643","826.704663377206","-0.0161102505240892","-0.46225082267985435","5318.105689357065","0.0"
"14.0","539.7775141693553","1180.2410604497888","0.22098214189874188","-0.34890027703720516","5233.110221938401","0.019882418935947"
"15.0","1031.5641866343317","674.8059761157442","-0.12254374495739793","-0.5170379645209722","5746.871909555014","0.0"
"16.0","1076.507681176502","633.1842684777711","-0.15244405983650006","-0.5328661641841452","5912.661201541826","0.0"
"17.0","919.7089876071144","781.4972193918622","-0.047394645462483925","-0.47810391660720253","5418.264012444219","0.0"
"18.0","741.6347080448688","960.9530316560699","0.07524117056090979","-0.41714917043606736","5146.307995034178","0.0"
"19.0","858.6377999780077","841.6728636663393","-0.0058158014851219615","-0.45707952951038117","5289.798912510878","0.0"
"20.0","1111.0794728608196","601.6447460019236","-0.1753517664114155","-0.5451237978813344","6053.340314015851","0.0"
"21.0","643.881772108358","1064.8837508857043","0.14472446046970125","-0.38403670945383833","5133.391802491546","0.0"
"22.0","600.4472421851237","1112.4010717690335","0.17622603699132483","-0.3693678515580278","5160.310780693786","0.0"
"23.0","720.0296392896208","983.576601629195","0.09044457134773569","-0.409815357880623","5134.8925907674275","0.0"
"24.0","979.7875837998298","723.6353128373579","-0.08790164454643717","-0.4989403278596175","5579.83365086064","0.0"
"25.0","1119.8775668999729","593.6836726326727","-0.1811701156429804","-0.5482553360265447","6090.96730757514","0.0"
"26.0","1108.996665081115","603.5328649339685","-0.1739738494845141","-0.5443832618654005","6044.5401189982995","0.0"
"27.0","950.1675935684207","751.9988482543425","-0.06797600297507249","-0.4886469805382293","5495.834019556602","0.0"
"28.0","812.0403611504418","888.5355235215777","0.026225805387243548","-0.4411282693409267","5216.322423262906","0.0"
"29.0","878.5839340115419","821.866180559932","-0.019444538713159258","-0.4639304243784201","5327.765671781241","0.0"
"30.0","944.546549957619","757.417639405696","-0.06418493789721488","-0.4866983063083943","5480.846958321495","0.0"
